Date;Amount of food thrown out(in kg);Amount of food bought (in kg);Money invested to buy products (in zl);Kindergarten_ID
2019-11-27;452;458;12824;12;
2020-04-10;201;292;4672;10;
2020-10-16;35;440;11440;16;
2019-04-07;512;601;8414;2;
2020-11-03;620;918;22950;3;
2020-02-22;535;896;24192;3;
2019-11-26;861;948;23700;12;
2019-11-11;408;438;14016;8;
2019-08-17;4;802;15238;11;
2019-10-05;461;530;10600;17;
2019-06-20;145;486;16038;19;
2019-08-21;387;768;17664;2;
2020-05-28;490;897;21528;14;
2020-01-09;648;999;23976;8;
2020-06-26;201;699;16077;14;
2020-12-22;3;937;30921;19;
2019-05-18;176;411;10275;11;
2019-07-11;485;788;8668;12;
2020-10-04;296;413;10325;1;
2020-02-20;526;668;25384;7;
2019-08-06;284;320;4800;1;
2020-01-06;175;531;19647;9;
2019-02-19;234;286;5434;2;
2019-03-04;451;672;22848;9;
2019-07-16;681;856;8560;1;
2020-05-14;803;833;17493;1;
2020-12-27;157;341;10571;1;
2019-07-21;169;593;7116;6;
2019-03-24;514;563;16890;12;
2019-01-04;353;378;7560;13;
2019-11-09;318;470;12690;7;
2019-09-23;409;567;9072;20;
2019-06-04;348;375;5625;7;
2019-12-18;35;472;8968;11;
2020-03-04;43;339;10170;7;
2019-03-14;241;680;17000;5;
2020-05-22;547;715;25740;4;
2019-03-05;164;486;8748;17;
2020-07-27;54;515;6180;8;
2020-08-14;260;922;28582;14;
2020-05-14;173;335;11725;12;
2019-09-20;492;633;17091;13;
2019-02-18;327;899;31465;5;
2019-12-14;556;725;20300;12;
2019-06-08;343;623;23051;15;
2020-08-15;216;596;10728;3;
2020-02-10;232;509;10689;6;
2020-03-30;431;681;16344;2;
2020-11-19;84;630;13860;5;
2019-10-20;246;525;13650;7;
2020-08-28;528;717;20076;6;
2020-10-17;44;747;8964;8;
2019-03-06;651;662;17212;17;
2020-05-15;210;542;15176;8;
2019-02-02;365;904;29832;20;
2020-05-25;943;975;28275;13;
2020-09-07;657;814;13024;9;
2019-03-05;222;710;13490;18;
2020-07-10;595;694;13880;17;
2019-11-16;185;499;10978;19;
2019-10-30;303;755;27935;20;
2020-07-29;260;321;10593;8;
2019-11-09;178;534;15486;13;
2020-09-12;24;373;10071;18;
2020-06-19;73;415;13280;20;
2019-06-13;572;859;28347;6;
2020-01-15;231;701;19628;14;
2019-08-20;271;787;18101;17;
2019-03-21;243;274;8768;12;
2019-07-01;363;370;4810;1;
2020-03-19;425;668;26720;15;
2020-10-29;270;609;21924;16;
2020-05-16;356;356;6052;15;
2020-07-22;285;306;11016;2;
2019-05-02;173;585;12285;14;
2019-09-11;265;469;16415;11;
2019-07-14;490;547;15863;19;
2020-09-07;19;294;11172;19;
2020-03-26;140;758;28804;2;
2020-04-11;360;655;15720;14;
2019-05-08;356;859;10308;3;
2019-04-18;18;799;10387;18;
2019-02-06;236;819;16380;10;
2019-12-07;251;426;6390;6;
2020-07-21;333;460;13800;9;
2020-12-02;770;971;14565;20;
2019-11-23;446;669;16056;9;
2020-08-23;275;282;6486;7;
2020-01-16;56;351;12285;16;
2019-04-04;376;616;8624;12;
2019-11-08;886;908;23608;19;
2020-06-13;214;571;16559;8;
2019-05-06;157;319;8932;8;
2020-07-29;399;411;12330;9;
2019-08-10;23;788;10244;19;
2020-04-05;329;751;30040;17;
2019-10-25;794;813;27642;9;
2019-07-10;247;527;5797;3;
2019-07-18;404;999;36963;19;
2022-05-19;65;356;11392;13;
2021-07-17;48;343;9261;11;
2021-04-21;74;324;11016;15;
2022-01-18;9;309;11742;14;
2021-12-11;58;390;8580;19;
2022-12-07;46;326;10758;2;
2022-01-03;74;399;14763;14;
2021-04-26;71;306;10404;18;
2022-12-28;88;314;6280;19;
2022-12-15;8;354;9204;4;
2022-12-09;25;290;11310;20;
2022-06-08;84;329;10199;14;
2022-08-12;7;289;8959;9;
2021-01-31;69;391;14858;5;
2022-08-13;90;382;12988;18;
2021-11-13;5;329;12502;16;
2021-06-24;52;327;13080;8;
2021-11-15;32;265;9805;6;
2022-11-05;112;393;13362;13;
2021-01-07;96;362;9774;7;
2022-01-09;66;331;6620;13;
2022-08-25;54;294;11466;4;
2022-10-29;63;299;6279;8;
2022-01-31;98;389;14393;1;
2022-09-19;27;382;7640;2;
2022-02-17;7;297;6534;19;
2022-08-16;51;330;12210;4;
2021-08-07;45;276;5796;18;
2021-03-08;14;319;11484;8;
2022-12-27;54;250;5500;15;
2021-07-03;69;339;13560;19;
2021-10-07;78;273;7098;6;
2021-02-24;16;296;8288;9;
2022-08-31;87;353;7413;19;
2022-02-15;75;280;5600;5;
2022-03-26;89;359;12924;11;
2021-11-23;69;323;11951;15;
2022-12-10;67;279;10323;5;
2022-01-08;40;272;8432;11;
2022-05-24;0;396;13860;5;
2022-01-02;12;325;7150;7;
2022-12-17;11;335;10385;20;
2022-12-19;36;327;11772;19;
2022-04-14;42;394;14578;16;
2022-02-25;55;386;15440;10;
2022-02-24;15;272;5712;14;
2021-12-24;72;327;9483;20;
2022-10-13;40;396;8712;18;
2021-08-02;46;279;5580;12;
2022-03-28;0;400;13200;2;
2022-08-01;73;349;10819;20;
2022-03-30;20;347;13533;10;
2021-05-11;116;400;14000;20;
2022-07-12;88;301;10234;3;
2021-09-28;55;396;8712;13;
2021-02-20;6;386;9264;9;
2022-04-15;38;307;6754;17;
2021-12-29;43;265;6360;3;
2021-11-06;48;380;10640;15;
2022-06-08;51;378;13986;13;
2022-10-20;8;307;11359;20;
2021-04-07;16;265;10600;8;
2021-06-02;18;343;12348;10;
2021-06-12;92;351;12285;6;
2022-09-10;48;354;12744;11;
2022-06-18;62;257;10280;2;
2021-10-31;76;389;13615;5;
2021-05-30;22;361;9747;3;
2022-12-26;50;311;8708;20;
2021-05-02;63;385;11935;12;
2022-03-29;91;315;12285;12;
2021-03-29;11;377;12064;7;
2022-01-06;71;387;13158;16;
2021-09-14;52;350;13300;3;
2022-06-26;105;378;12096;7;
2021-02-10;10;386;12738;1;
2022-02-18;89;361;9386;1;
2022-08-21;72;292;7300;6;
2022-06-22;33;321;11877;12;
2021-10-03;67;384;10368;3;
2022-09-13;45;335;7705;12;
2022-06-27;100;348;10788;17;
2021-03-20;22;348;10440;17;
2021-01-30;5;318;8904;8;
2021-08-19;24;255;8160;3;
2021-06-06;42;309;9888;17;
2021-11-01;18;284;8236;3;
2021-04-23;34;250;9750;17;
2021-09-18;103;355;11005;13;
2022-07-17;51;320;8960;13;
2021-04-09;41;287;10906;16;
2021-08-29;0;339;12882;4;
2022-06-15;25;362;9412;17;
2022-07-01;59;275;8800;4;
2022-07-20;66;265;7155;11;
2021-02-09;76;330;12210;8;
2022-11-19;10;359;11488;14;
2022-04-17;28;364;13104;13;
2022-12-22;35;319;7656;18;
2021-03-26;92;388;10476;11;
2021-04-20;38;259;5439;2;
2021-10-12;39;263;10520;2;
2022-08-03;102;396;12276;3;
2021-05-17;72;262;6812;20;
2021-04-18;58;316;8216;2;
2022-06-04;12;329;11844;17;
2022-10-01;27;282;8178;4;
2021-08-12;17;287;8610;9;
2022-04-08;82;395;11455;20;
2021-02-24;98;347;11451;14;
2022-06-09;81;387;8901;17;
2022-01-24;47;276;6624;19;
2022-08-10;55;267;5607;10;
2021-02-14;34;375;12375;19;
2021-09-12;53;365;8760;18;
2021-12-08;37;283;7924;13;
2022-04-14;58;311;6531;16;
2021-01-10;57;305;6100;2;
2021-11-08;47;255;8670;15;
2022-01-10;53;344;13072;12;
2022-01-25;30;367;10276;6;
2022-06-08;22;269;7532;19;
2021-03-02;30;272;5712;10;
2021-10-02;35;304;11552;14;
2021-02-16;39;345;11040;7;
2021-03-12;26;318;11448;16;
2021-03-11;47;322;12236;16;
2021-09-02;48;316;12008;10;
2021-07-11;19;333;6660;11;
2022-06-07;76;289;6647;19;
2021-09-04;14;350;7700;1;
2021-10-21;36;383;14554;18;
2021-01-12;29;339;10170;18;
2021-03-16;6;265;7420;7;
2022-07-08;18;319;7975;7;
2022-03-14;71;313;10955;5;
2022-04-07;21;277;9418;14;
2021-07-17;54;264;5280;11;
2021-12-24;96;336;7728;11;
2022-11-03;16;256;5888;13;
2021-08-28;86;329;10528;1;
2022-08-18;94;318;12084;1;
2021-01-29;88;328;8856;12;
2021-10-12;21;304;7296;14;
2022-09-08;52;344;7568;1;
2021-03-27;101;355;11715;8;
2022-01-16;54;377;14703;1;
2022-10-11;24;274;8768;1;
2022-07-07;33;346;9342;2;
2022-04-08;60;258;7224;11;
2021-05-25;86;375;11625;15;
2021-04-05;65;379;11749;15;
2022-02-17;40;376;14288;20;
2021-01-03;18;285;5985;12;
2022-04-22;63;255;7905;5;
2022-01-03;45;294;6468;19;
2022-11-23;99;383;14937;3;
2021-12-01;53;266;9310;2;
2021-05-01;63;355;8165;15;
2021-06-24;54;364;10920;3;
2021-05-19;14;339;6780;8;
2021-12-29;66;315;9135;16;
2021-04-13;44;310;10850;20;
2022-01-09;42;317;8559;12;
2022-05-29;21;389;8558;11;
2022-12-09;7;282;7896;19;
2022-05-14;48;267;9879;8;
2022-01-29;66;292;10804;5;
2021-03-25;1;325;7150;7;
2022-08-03;33;355;10295;19;
2022-08-04;26;392;14504;7;
2021-09-24;51;322;9660;16;
2022-07-28;63;278;11120;15;
2021-10-16;102;370;11470;19;
2022-06-25;45;329;12502;7;
2021-10-12;68;345;8970;17;
2021-12-28;59;275;5775;13;
2021-07-10;18;373;7460;13;
2021-11-03;97;365;11680;1;
2021-01-09;43;346;9688;5;
2022-08-01;17;259;7252;6;
2021-03-14;79;277;9695;19;
2021-02-27;93;340;10540;9;
2021-02-24;7;312;11232;20;
2021-02-14;19;309;8652;7;
2022-09-09;20;300;10800;8;
2022-08-22;64;316;7900;10;
2022-12-06;15;349;7329;7;
2022-11-12;69;272;10608;7;
2021-08-05;38;282;7614;8;
2022-09-23;17;287;11193;7;
2021-10-20;75;327;8175;20;
2021-10-13;96;330;9240;3;
2022-11-23;34;333;8325;12;
2022-05-26;10;334;10354;5;
2022-11-15;69;331;7944;9;
2022-04-10;81;366;8784;9;
2022-02-23;93;337;9436;3;
2022-08-06;57;354;7434;11;
2022-07-29;50;357;9996;12;
